CPT,Total_Amount,Probability
99999,1071.0,0.005494505494505495
99999,540.36,0.005494505494505495
99999,298.43,0.005494505494505495
99999,724.0,0.006868131868131868
99999,3374.87,0.061813186813186816
99999,1772.26,0.005494505494505495
99999,767.14,0.005494505494505495
99999,16.82,0.005494505494505495
99999,1576.14,0.020604395604395604
99999,322.03,0.024725274725274724
99999,680.2,0.005494505494505495
99999,718.53,0.005494505494505495
99999,2554.93,0.0027472527472527475
99999,151.12,0.006868131868131868
99999,1093.83,0.005494505494505495
99999,2389.81,0.005494505494505495
99999,778.48,0.0027472527472527475
99999,350.36,0.008241758241758242
99999,676.8,0.008241758241758242
99999,1054.34,0.046703296703296704
99999,1300.0,0.012362637362637362
99999,39.87,0.006868131868131868
99999,204.28,0.005494505494505495
99999,774.21,0.005494505494505495
99999,286.3,0.008241758241758242
S0189Rx,2.22,0.5
S0189Rx,1.11,0.5
298060,0.0,1.0
99991,0.0,1.0
270,400.3,0.02962962962962963
270,4687.24,0.014814814814814815
270,269.09,0.007407407407407408
270,868.67,0.007407407407407408
270,0.0,0.8148148148148148
270,1265.79,0.022222222222222223
270,491.89,0.044444444444444446
270,692.53,0.007407407407407408
270,8.93,0.007407407407407408
270,2039.51,0.007407407407407408
270,3084.12,0.02962962962962963
270,50.0,0.007407407407407408
80000Rx,4.11,0.0008176614881439084
80000Rx,6.09,0.003270645952575634
80000Rx,102.0,0.0004088307440719542
80000Rx,0.0,0.9435813573180704
80000Rx,9.12,0.001635322976287817
80000Rx,9.59,0.0008176614881439084
80000Rx,5.22,0.003270645952575634
80000Rx,7.5,0.001635322976287817
80000Rx,11.28,0.0008176614881439084
80000Rx,2.76,0.0004088307440719542
80000Rx,14.19,0.0004088307440719542
80000Rx,0.43,0.0004088307440719542
80000Rx,6.8,0.0004088307440719542
80000Rx,8.0,0.0024529844644317253
80000Rx,8.3,0.0004088307440719542
80000Rx,4.0,0.001635322976287817
80000Rx,6.95,0.0004088307440719542
80000Rx,3.84,0.003270645952575634
80000Rx,70.48,0.0004088307440719542
80000Rx,5.67,0.001635322976287817
80000Rx,78.69,0.0004088307440719542
80000Rx,12.86,0.0004088307440719542
80000Rx,253.8,0.0004088307440719542
80000Rx,72.5,0.001635322976287817
80000Rx,33.15,0.0004088307440719542
80000Rx,6.34,0.003270645952575634
80000Rx,-563.89,0.001635322976287817
80000Rx,7.87,0.0004088307440719542
80000Rx,40.17,0.001635322976287817
80000Rx,1.78,0.001635322976287817
80000Rx,14.94,0.0004088307440719542
80000Rx,148.37,0.0004088307440719542
80000Rx,6.19,0.001635322976287817
80000Rx,6.18,0.001635322976287817
80000Rx,10.0,0.0004088307440719542
80000Rx,3.26,0.0008176614881439084
80000Rx,9.04,0.001635322976287817
80000Rx,6.58,0.0008176614881439084
80000Rx,8.24,0.0004088307440719542
80000Rx,532.0,0.001635322976287817
80000Rx,18.78,0.0008176614881439084
80000Rx,103.9,0.001635322976287817
80000Rx,0.15,0.0012264922322158627
80000Rx,38.96,0.001635322976287817
80000Rx,13.97,0.003270645952575634
80000Rx,4.98,0.0004088307440719542
80000Rx,4.74,0.0004088307440719542
80000Rx,118.25,0.0004088307440719542
80000Rx,5.99,0.0004088307440719542
272,269.09,0.013157894736842105
272,263.82,0.013157894736842105
272,0.0,0.8026315789473685
272,1265.79,0.039473684210526314
272,1372.08,0.039473684210526314
272,491.89,0.07894736842105263
272,50.0,0.013157894736842105
0942Rx,0.0,1.0
274,0.0,0.25
274,482.86,0.75
276,0.0,1.0
278,4687.24,0.11764705882352941
278,0.0,0.5294117647058824
278,491.89,0.35294117647058826
A7035Rx,851.35,0.014652014652014652
A7035Rx,0.0,0.7435897435897436
A7035Rx,34.1,0.007326007326007326
A7035Rx,295.01,0.007326007326007326
A7035Rx,44.45,0.007326007326007326
A7035Rx,5.24,0.014652014652014652
A7035Rx,13.7,0.02197802197802198
A7035Rx,13.5,0.014652014652014652
A7035Rx,5.4,0.003663003663003663
A7035Rx,4.9,0.02197802197802198
A7035Rx,278.43,0.007326007326007326
A7035Rx,5.94,0.007326007326007326
A7035Rx,0.59,0.007326007326007326
A7035Rx,352.5,0.014652014652014652
A7035Rx,4.61,0.007326007326007326
A7035Rx,4.45,0.007326007326007326
A7035Rx,63.0,0.014652014652014652
A7035Rx,2.9,0.003663003663003663
A7035Rx,57.6,0.003663003663003663
A7035Rx,5.84,0.02197802197802198
A7035Rx,49.5,0.014652014652014652
A7035Rx,31.5,0.029304029304029304
A7035Rx,2.24,0.003663003663003663
A7003NU,0.0,1.0
93296Rx,0.0,1.0
12015,0.0,1.0
12014,15.84,1.0
Y8010,0.0,1.0
12011,290.71,0.02145922746781116
12011,245.95,0.004291845493562232
12011,0.0,0.6051502145922747
12011,172.45,0.012875536480686695
12011,2510.27,0.017167381974248927
12011,181.65,0.017167381974248927
12011,35.07,0.012875536480686695
12011,529.23,0.017167381974248927
12011,50.42,0.02145922746781116
12011,53.86,0.012875536480686695
12011,205.66,0.017167381974248927
12011,159.23,0.008583690987124463
12011,623.08,0.02145922746781116
12011,314.27,0.017167381974248927
12011,677.43,0.02145922746781116
12011,161.09,0.017167381974248927
12011,8.1,0.012875536480686695
12011,1105.33,0.02145922746781116
12011,494.0,0.004291845493562232
12011,252.13,0.02145922746781116
12011,440.96,0.02145922746781116
12011,55.78,0.02145922746781116
12011,173.0,0.012875536480686695
12011,174.35,0.008583690987124463
12011,249.25,0.017167381974248927
12011,219.14,0.012875536480686695
42820Rx,15.0,0.08
42820Rx,2.94,0.02
42820Rx,0.0,0.46
42820Rx,4.9,0.08
42820Rx,3.29,0.08
42820Rx,16.99,0.02
42820Rx,62.99,0.02
42820Rx,6.39,0.08
42820Rx,60.0,0.16
12013,37.01,0.13157894736842105
12013,268.1,0.05263157894736842
12013,0.0,0.5789473684210527
12013,1710.9,0.05263157894736842
12013,10.09,0.02631578947368421
12013,303.55,0.13157894736842105
12013,234.06,0.02631578947368421
01820Rx,0.0,1.0
17250,0.0,0.9180327868852459
17250,50.88,0.08196721311475409
41000Rx,0.0,1.0
111010Rx,0.0,1.0
90688Rx,44.94,0.19047619047619047
90688Rx,72.13,0.19047619047619047
90688Rx,47.84,0.19047619047619047
90688Rx,1.89,0.19047619047619047
90688Rx,33.53,0.19047619047619047
90688Rx,123.93,0.047619047619047616
78306Rx,51.1,0.05555555555555555
78306Rx,0.0,0.7777777777777778
78306Rx,21.41,0.05555555555555555
78306Rx,26.17,0.05555555555555555
78306Rx,0.47,0.05555555555555555
49568,0.0,1.0
49565,0.0,1.0
00124Rx,0.0,1.0
49561,0.0,1.0
49560,96.79,0.08695652173913043
49560,0.0,0.8260869565217391
49560,11.61,0.08695652173913043
84120,0.0,1.0
84126,0.0,1.0
99236Rx,-0.02,0.15789473684210525
99236Rx,0.0,0.05263157894736842
99236Rx,2.65,0.15789473684210525
99236Rx,2.08,0.15789473684210525
99236Rx,-0.3,0.3157894736842105
99236Rx,0.28,0.15789473684210525
L4205,38.92,1.0
73540Rx,0.0,1.0
64450,858.69,0.02631578947368421
64450,271.26,0.05263157894736842
64450,95.45,0.02631578947368421
64450,0.0,0.47368421052631576
64450,6.82,0.039473684210526314
64450,0.7,0.039473684210526314
64450,125.0,0.05263157894736842
64450,5.09,0.013157894736842105
64450,181.85,0.006578947368421052
64450,585.9,0.02631578947368421
64450,38.45,0.02631578947368421
64450,128.93,0.013157894736842105
64450,58.38,0.07894736842105263
64450,442.46,0.02631578947368421
64450,29.0,0.019736842105263157
64450,162.0,0.07894736842105263
G0383,126.88,1.0
G0382,0.0,0.8333333333333334
G0382,305.0,0.16666666666666666
64455,250.21,0.08695652173913043
64455,21.61,0.028985507246376812
64455,6.18,0.057971014492753624
64455,23.08,0.057971014492753624
64455,8.82,0.11594202898550725
64455,0.0,0.463768115942029
64455,72.73,0.057971014492753624
64455,13.28,0.014492753623188406
64455,38.81,0.07246376811594203
64455,5.63,0.014492753623188406
64455,13.24,0.014492753623188406
64455,56.27,0.014492753623188406
45110,0.0,0.4444444444444444
45110,293.3,0.5555555555555556
4699Rx,0.0,1.0
85613,923.53,0.10810810810810811
85613,99.34,0.10810810810810811
85613,22.41,0.10810810810810811
85613,0.0,0.5405405405405406
85613,7.9,0.10810810810810811
85613,14.55,0.02702702702702703
735608Rx,0.0,1.0
71010Rx,5.43,0.014492753623188406
71010Rx,1.0,0.007246376811594203
71010Rx,0.0,0.47101449275362317
71010Rx,7.05,0.021739130434782608
71010Rx,0.6,0.043478260869565216
71010Rx,6.6,0.036231884057971016
71010Rx,0.62,0.007246376811594203
71010Rx,1.98,0.007246376811594203
71010Rx,5.66,0.014492753623188406
71010Rx,4.34,0.007246376811594203
71010Rx,4.5,0.018115942028985508
71010Rx,5.4,0.007246376811594203
71010Rx,4.2,0.014492753623188406
71010Rx,48.55,0.028985507246376812
71010Rx,0.85,0.007246376811594203
71010Rx,0.88,0.007246376811594203
71010Rx,9.0,0.014492753623188406
71010Rx,4.81,0.021739130434782608
71010Rx,21.77,0.007246376811594203
71010Rx,5.98,0.007246376811594203
71010Rx,7.04,0.007246376811594203
71010Rx,8.49,0.0036231884057971015
71010Rx,0.77,0.0036231884057971015
71010Rx,30.24,0.014492753623188406
71010Rx,1.84,0.0036231884057971015
71010Rx,0.56,0.007246376811594203
71010Rx,15.0,0.021739130434782608
71010Rx,3.92,0.007246376811594203
71010Rx,6.84,0.010869565217391304
71010Rx,3.96,0.014492753623188406
71010Rx,4.75,0.014492753623188406
71010Rx,1.67,0.021739130434782608
71010Rx,6.25,0.014492753623188406
71010Rx,8.8,0.043478260869565216
71010Rx,1.45,0.007246376811594203
71010Rx,16.8,0.018115942028985508
71010Rx,55.37,0.0036231884057971015
71010Rx,1.27,0.018115942028985508
85610,1820.9,0.0016129032258064516
85610,305.71,0.001075268817204301
85610,3.78,0.0005376344086021505
85610,1558.3,0.001075268817204301
85610,1502.76,0.002150537634408602
85610,252.02,0.0032258064516129032
85610,21.28,0.001075268817204301
85610,12.6,0.012903225806451613
85610,7.8,0.002688172043010753
85610,14.52,0.002150537634408602
85610,14.55,0.0005376344086021505
85610,5.66,0.0005376344086021505
85610,30.97,0.001075268817204301
85610,947.88,0.0005376344086021505
85610,22.57,0.002150537634408602
85610,106.78,0.001075268817204301
85610,205.44,0.002688172043010753
85610,290.0,0.0016129032258064516
85610,4.06,0.001075268817204301
85610,6.56,0.002150537634408602
85610,12.62,0.0016129032258064516
85610,7.02,0.0005376344086021505
85610,32.32,0.002150537634408602
85610,8.69,0.0064516129032258064
85610,20.61,0.003763440860215054
85610,30.83,0.0016129032258064516
85610,30.84,0.0016129032258064516
85610,14.3,0.0032258064516129032
85610,1.06,0.001075268817204301
85610,17.31,0.002688172043010753
85610,477.33,0.002688172043010753
85610,47.7,0.002150537634408602
85610,528.82,0.002150537634408602
85610,235.83,0.002150537634408602
85610,95.36,0.002150537634408602
85610,2.25,0.0016129032258064516
85610,140.11,0.0005376344086021505
85610,5.49,0.001075268817204301
85610,3.6,0.0032258064516129032
85610,524.1,0.004838709677419355
85610,41.07,0.0005376344086021505
85610,122.49,0.002150537634408602
85610,10.41,0.0005376344086021505
85610,2.7,0.005913978494623656
85610,2.4,0.0005376344086021505
85610,2.36,0.0016129032258064516
85610,142.69,0.002688172043010753
85610,109.0,0.004838709677419355
85610,70.68,0.0005376344086021505
85610,469.43,0.002150537634408602
85610,3.83,0.002150537634408602
85610,40.3,0.0016129032258064516
85610,12.47,0.0005376344086021505
85610,935.61,0.0016129032258064516
85610,102.65,0.001075268817204301
85610,659.87,0.0016129032258064516
85610,2.42,0.0016129032258064516
85610,2.43,0.001075268817204301
85610,61.77,0.001075268817204301
85610,626.38,0.002688172043010753
85610,234.77,0.0005376344086021505
85610,60.9,0.002150537634408602
85610,468.03,0.0005376344086021505
85610,51.47,0.002150537634408602
85610,33.4,0.01129032258064516
85610,7.59,0.001075268817204301
85610,0.75,0.002150537634408602
85610,120.94,0.0016129032258064516
85610,14.76,0.002688172043010753
85610,294.28,0.001075268817204301
85610,8.1,0.0032258064516129032
85610,50.26,0.0005376344086021505
85610,2.56,0.0016129032258064516
85610,46.79,0.0005376344086021505
85610,0.01,0.005376344086021506
85610,13.34,0.0005376344086021505
85610,112.21,0.001075268817204301
85610,9.0,0.002150537634408602
85610,1392.46,0.0005376344086021505
85610,596.44,0.0005376344086021505
85610,2065.18,0.002150537634408602
85610,16.82,0.002150537634408602
85610,16.83,0.0005376344086021505
85610,7.46,0.004301075268817204
85610,2389.81,0.001075268817204301
85610,5.17,0.002150537634408602
85610,73.78,0.0005376344086021505
85610,259.95,0.0064516129032258064
85610,344.93,0.002150537634408602
85610,1.59,0.0032258064516129032
85610,344.94,0.002150537634408602
85610,377.85,0.002688172043010753
85610,2.62,0.0016129032258064516
85610,45.56,0.0005376344086021505
85610,2.12,0.002150537634408602
85610,1.47,0.002688172043010753
85610,887.46,0.002150537634408602
85610,2.83,0.002150537634408602
85610,0.0,0.7150537634408602
85610,141.2,0.002150537634408602
85610,755.4,0.002150537634408602
85610,0.63,0.002688172043010753
85610,8.33,0.0016129032258064516
85610,14.34,0.0005376344086021505
85610,5.03,0.023655913978494623
85610,5.0,0.008064516129032258
85610,6.92,0.002150537634408602
85610,5.4,0.002150537634408602
85610,1108.12,0.002688172043010753
85610,297.51,0.002150537634408602
85610,6.98,0.0016129032258064516
85610,11.2,0.0005376344086021505
85610,1.38,0.002150537634408602
85610,10.93,0.002150537634408602
85610,1009.24,0.001075268817204301
85610,1.36,0.001075268817204301
85610,923.53,0.002150537634408602
85610,907.31,0.0016129032258064516
85610,157.17,0.0016129032258064516
85610,109.27,0.001075268817204301
85610,469.9,0.002150537634408602
85610,5.78,0.0032258064516129032
85610,30.24,0.002150537634408602
85610,112.17,0.0005376344086021505
85610,15.7,0.002688172043010753
85610,529.44,0.001075268817204301
D9242Rx,9.21,0.0625
D9242Rx,19.7,0.125
D9242Rx,0.0,0.1875
D9242Rx,9.14,0.0625
D9242Rx,-34.7,0.0625
D9242Rx,5.84,0.0625
D9242Rx,10.94,0.0625
D9242Rx,-0.3,0.0625
D9242Rx,9.7,0.3125
37799,0.0,1.0
42830,336.26,0.049019607843137254
42830,36.43,0.049019607843137254
42830,888.01,0.0392156862745098
42830,0.0,0.45098039215686275
42830,2438.9,0.0392156862745098
42830,303.65,0.049019607843137254
42830,1638.35,0.049019607843137254
42830,454.07,0.049019607843137254
42830,54.43,0.0392156862745098
42830,416.41,0.0392156862745098
42830,2462.88,0.14705882352941177
42831,0.0,1.0
00740P1,462.0,1.0
A4385,681.4,0.03333333333333333
A4385,0.0,0.7333333333333333
A4385,34.8,0.06666666666666667
A4385,81.23,0.16666666666666666
10040Rx,2.97,0.005376344086021506
10040Rx,131.01,0.004032258064516129
10040Rx,10.2,0.0013440860215053765
10040Rx,4.72,0.004032258064516129
10040Rx,80.55,0.006720430107526882
10040Rx,1.3,0.005376344086021506
10040Rx,0.0,0.9139784946236559
10040Rx,481.84,0.006720430107526882
10040Rx,7.0,0.005376344086021506
10040Rx,2.6,0.0013440860215053765
10040Rx,1.66,0.010752688172043012
10040Rx,64.2,0.010752688172043012
10040Rx,5.16,0.002688172043010753
10040Rx,24.31,0.0013440860215053765
10040Rx,124.87,0.004032258064516129
10040Rx,9.6,0.006720430107526882
10040Rx,29.3,0.005376344086021506
10040Rx,67.45,0.004032258064516129
958108,0.0,1.0
38500,0.0,1.0
94150,4.4,0.01935483870967742
94150,23.09,0.016129032258064516
94150,13.85,0.03225806451612903
94150,25.0,0.0032258064516129032
94150,0.0,0.7354838709677419
94150,17.85,0.0967741935483871
94150,13.44,0.016129032258064516
94150,234.76,0.0064516129032258064
94150,3.7,0.05806451612903226
94150,1.1,0.016129032258064516
012154,0.0,1.0
90647,0.0,1.0
90645,0.0,1.0
44180Rx,0.0,1.0
Y4010,25.23,0.006906077348066298
Y4010,158.26,0.0027624309392265192
Y4010,336.07,0.011049723756906077
Y4010,0.0,0.6685082872928176
Y4010,17.82,0.022099447513812154
Y4010,686.03,0.008287292817679558
Y4010,310.0,0.011049723756906077
Y4010,317.32,0.0055248618784530384
Y4010,231.81,0.008287292817679558
Y4010,77.26,0.0027624309392265192
Y4010,134.75,0.0013812154696132596
Y4010,637.99,0.0055248618784530384
Y4010,26.49,0.0027624309392265192
Y4010,239.78,0.0027624309392265192
Y4010,95.0,0.0013812154696132596
Y4010,649.1,0.008287292817679558
Y4010,28.25,0.0055248618784530384
Y4010,400.14,0.0055248618784530384
Y4010,896.88,0.0027624309392265192
Y4010,77.48,0.0055248618784530384
Y4010,454.0,0.0013812154696132596
Y4010,307.14,0.0027624309392265192
Y4010,16.84,0.008287292817679558
Y4010,990.0,0.011049723756906077
Y4010,8.44,0.013812154696132596
Y4010,60.42,0.0027624309392265192
Y4010,67.41,0.013812154696132596
Y4010,5.2,0.0027624309392265192
Y4010,16.89,0.013812154696132596
Y4010,10.54,0.013812154696132596
Y4010,128.65,0.011049723756906077
Y4010,30.24,0.009668508287292817
Y4010,285.49,0.013812154696132596
Y4010,168.86,0.008287292817679558
Y4010,142.74,0.0027624309392265192
Y4010,274.31,0.0027624309392265192
Y4010,14.7,0.0055248618784530384
Y4010,93.44,0.0027624309392265192
Y4010,360.96,0.0055248618784530384
Y4010,762.37,0.011049723756906077
Y4010,14.39,0.0013812154696132596
Y4010,8.95,0.0055248618784530384
Y4010,308.44,0.011049723756906077
Y4010,15.89,0.016574585635359115
Y4010,537.73,0.008287292817679558
Y4010,286.68,0.011049723756906077
99199,210.36,0.02753303964757709
99199,96.0,0.006607929515418502
99199,39.0,0.024229074889867842
99199,-69.0,0.005506607929515419
99199,0.0,0.8590308370044053
99199,-30.0,0.004405286343612335
99199,38.93,0.004405286343612335
99199,381.89,0.0022026431718061676
99199,7.0,0.0011013215859030838
99199,21.44,0.016519823788546256
99199,42.0,0.006607929515418502
99199,78.5,0.0011013215859030838
99199,78.0,0.013215859030837005
99199,175.61,0.005506607929515419
99199,161.21,0.016519823788546256
99199,-140.0,0.0011013215859030838
99199,23.45,0.004405286343612335
90648,0.0,0.9686411149825784
90648,-240.11,0.020905923344947737
90648,85.0,0.010452961672473868
90649,47.12,0.004814305364511692
90649,0.0,0.9260660247592847
90649,27.24,0.0017193947730398899
90649,0.62,0.001375515818431912
90649,164.38,0.001375515818431912
90649,319.11,0.0010316368638239339
90649,4.71,0.004814305364511692
90649,188.76,0.001375515818431912
90649,2.2,0.001375515818431912
90649,39.4,0.0010316368638239339
90649,52.51,0.0017193947730398899
90649,78.0,0.0034387895460797797
90649,5.0,0.001375515818431912
90649,10.3,0.001375515818431912
90649,66.03,0.001375515818431912
90649,396.0,0.001375515818431912
90649,136.76,0.002751031636863824
90649,197.0,0.001375515818431912
90649,0.01,0.0010316368638239339
90649,30.57,0.001375515818431912
90649,98.58,0.001375515818431912
90649,11.2,0.001375515818431912
90649,240.0,0.0010316368638239339
90649,3.26,0.001375515818431912
90649,0.88,0.0010316368638239339
90649,127.79,0.000343878954607978
90649,27.53,0.001375515818431912
90649,229.0,0.0017193947730398899
90649,41.8,0.0010316368638239339
90649,226.29,0.001375515818431912
90649,85.99,0.0010316368638239339
90649,93.8,0.0017193947730398899
90649,10.72,0.001375515818431912
90649,60.86,0.001375515818431912
90649,7.09,0.0020632737276478678
90649,15.0,0.0034387895460797797
90649,16.69,0.001375515818431912
90649,9.0,0.0017193947730398899
90649,12.94,0.0020632737276478678
90649,136.0,0.002751031636863824
90649,79.49,0.0020632737276478678
90649,22.4,0.0017193947730398899
90649,19.54,0.001375515818431912
90649,3.39,0.0017193947730398899
768568,0.0,1.0
694330,0.0,1.0
B9998Rx,0.0,1.0
72131Rx,0.0,1.0
87269,0.0,0.75
87269,14.72,0.25
Y7220Rx,0.0,1.0
272Rx,0.0,1.0
99213Rx,59.26,6.11545988258317e-05
99213Rx,14.58,4.892367906066536e-05
99213Rx,9.58,4.892367906066536e-05
99213Rx,9.59,0.00011007827788649707
99213Rx,16.53,0.00019569471624266145
99213Rx,16.52,1.223091976516634e-05
99213Rx,9.52,0.00015900195694716244
99213Rx,9.53,1.223091976516634e-05
99213Rx,14.53,4.892367906066536e-05
99213Rx,9.51,4.892367906066536e-05
99213Rx,9.56,0.00034246575342465754
99213Rx,14.54,0.00011007827788649707
99213Rx,163.5,3.669275929549902e-05
99213Rx,9.55,8.561643835616438e-05
99213Rx,1.16,8.561643835616438e-05
99213Rx,1.17,0.00014677103718199608
99213Rx,1.14,0.00017123287671232877
99213Rx,1.12,0.0001223091976516634
99213Rx,1.13,6.11545988258317e-05
99213Rx,1.11,2.446183953033268e-05
99213Rx,389.12,1.223091976516634e-05
99213Rx,1.18,4.892367906066536e-05
99213Rx,7.61,4.892367906066536e-05
99213Rx,153.0,4.892367906066536e-05
99213Rx,7.65,8.561643835616438e-05
99213Rx,7.67,4.892367906066536e-05
99213Rx,7.66,7.338551859099804e-05
99213Rx,7.68,0.00013454011741682975
99213Rx,45.8,4.892367906066536e-05
99213Rx,45.0,0.00017123287671232877
99213Rx,147.72,6.11545988258317e-05
99213Rx,15.76,7.338551859099804e-05
99213Rx,15.77,0.00022015655577299414
99213Rx,125.91,4.892367906066536e-05
99213Rx,17.38,0.00013454011741682975
99213Rx,17.36,2.446183953033268e-05
99213Rx,16.55,4.892367906066536e-05
99213Rx,17.34,1.223091976516634e-05
99213Rx,17.35,7.338551859099804e-05
99213Rx,27.02,6.11545988258317e-05
99213Rx,27.06,3.669275929549902e-05
99213Rx,27.07,4.892367906066536e-05
99213Rx,222.33,2.446183953033268e-05
99213Rx,27.09,4.892367906066536e-05
99213Rx,76.66,6.11545988258317e-05
99213Rx,55.32,4.892367906066536e-05
99213Rx,259.22,4.892367906066536e-05
99213Rx,45.82,2.446183953033268e-05
99213Rx,45.87,0.0001834637964774951
99213Rx,135.91,2.446183953033268e-05
99213Rx,9.57,4.892367906066536e-05
99213Rx,9.54,3.669275929549902e-05
99213Rx,19.02,9.784735812133073e-05
99213Rx,19.09,1.223091976516634e-05
99213Rx,19.08,2.446183953033268e-05
99213Rx,175.62,2.446183953033268e-05
99213Rx,107.47,4.892367906066536e-05
99213Rx,217.64,7.338551859099804e-05
99213Rx,31.81,1.223091976516634e-05
99213Rx,31.86,2.446183953033268e-05
99213Rx,65.79,1.223091976516634e-05
99213Rx,46.66,0.00022015655577299414
99213Rx,46.65,0.00023238747553816047
99213Rx,0.39,8.561643835616438e-05
99213Rx,0.38,0.0002446183953033268
99213Rx,0.37,0.0001223091976516634
99213Rx,0.36,7.338551859099804e-05
99213Rx,0.34,0.00013454011741682975
99213Rx,0.33,0.00011007827788649707
99213Rx,0.32,0.0002446183953033268
99213Rx,0.31,7.338551859099804e-05
99213Rx,28.99,1.223091976516634e-05
99213Rx,75.39,4.892367906066536e-05
99213Rx,54.23,1.223091976516634e-05
99213Rx,568.2,4.892367906066536e-05
99213Rx,54.27,4.892367906066536e-05
99213Rx,46.39,8.561643835616438e-05
99213Rx,87.19,2.446183953033268e-05
99213Rx,104.06,2.446183953033268e-05
99213Rx,30.56,1.223091976516634e-05
99213Rx,30.54,3.669275929549902e-05
99213Rx,160.52,1.223091976516634e-05
99213Rx,157.55,3.669275929549902e-05
99213Rx,13.36,4.892367906066536e-05
99213Rx,116.52,3.669275929549902e-05
