Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
START_STATE,Under30_IL218,Under30_MI227,0.0007970787532563012,0.041521238866685295,False
START_STATE,Under30_IL227,Under30_MI227,0.004574294303981455,0.041521238866685295,False
START_STATE,Under60_PA235,Under30_MI227,0.00048293595050234717,0.041521238866685295,False
Under60_PA235,Under60_PA233,END_STATE,0.2733755942947702,0.436608557844691,False
Under60_PA233,Under60_PA235,END_STATE,0.09250193249162587,0.46457098685905696,False
Under60_PA235,Under60_PA233,END_STATE,0.2733755942947702,0.436608557844691,False
Under60_PA233,Under60_PA231,END_STATE,0.09147127029116207,0.46457098685905696,False
Under60_PA231,Under60_PA235,END_STATE,0.09269662921348315,0.42837078651685395,False
Under60_PA235,Under60_PA233,END_STATE,0.2733755942947702,0.436608557844691,False
Under60_PA233,Under60_PA235,END_STATE,0.09250193249162587,0.46457098685905696,False
START_STATE,Under60_PA235,Under30_MI227,0.00048293595050234717,0.041521238866685295,False
Under60_PA235,Under60_PA233,END_STATE,0.2733755942947702,0.436608557844691,False
Under60_PA233,Under60_PA233,END_STATE,0.2615305333676887,0.46457098685905696,False
START_STATE,Under30_OR233,Under30_MI227,0.0001275326005210082,0.041521238866685295,False
START_STATE,Under30_PA227,Under30_MI227,0.010052569688126527,0.041521238866685295,False
START_STATE,Under60_MA227,Under30_MI227,0.0048199821079263384,0.041521238866685295,False
START_STATE,Under30_IA88,Under30_MI227,1.031513680684625e-05,0.041521238866685295,False
START_STATE,Under30_IA227,Under30_MI227,0.0020958482512092153,0.041521238866685295,False
START_STATE,Under30_IA226,Under30_MI227,0.0002034895170077851,0.041521238866685295,False
START_STATE,Under60_IA227,Under30_MI227,0.0016991843540004913,0.041521238866685295,False
START_STATE,Under60_IA227,Under30_MI227,0.0016991843540004913,0.041521238866685295,False
START_STATE,Under30_WY197,Under30_MI227,6.564177967993068e-06,0.041521238866685295,False
START_STATE,Under60_MI132,Under30_MI227,2.3443492742832385e-05,0.041521238866685295,False
START_STATE,Under30_MI233,Under30_MI227,0.008328066361963777,0.041521238866685295,False
Under30_MI233,Under30_MI233,END_STATE,0.24876169510181617,0.5348865651562404,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under30_MI170,Under30_MI227,0.0014938193575732798,0.041521238866685295,False
START_STATE,Under60_MA76,Under30_MI227,3.938506780795841e-05,0.041521238866685295,False
START_STATE,Under60_MA227,Under30_MI227,0.0048199821079263384,0.041521238866685295,False
START_STATE,Under30_MI233,Under30_MI227,0.008328066361963777,0.041521238866685295,False
Under30_MI233,Under30_MI233,END_STATE,0.24876169510181617,0.5348865651562404,False
Under30_MI233,Under30_MI233,END_STATE,0.24876169510181617,0.5348865651562404,False
START_STATE,Under30_MI218,Under30_MI227,0.0071090047393364926,0.041521238866685295,False
START_STATE,Under60_MI237,Under30_MI227,0.0017395071615181632,0.041521238866685295,False
START_STATE,Under30_WI227,Under30_MI227,0.003040152138890504,0.041521238866685295,False
START_STATE,Under60_WI227,Under30_MI227,0.0028863628264975236,0.041521238866685295,False
START_STATE,Under30_WI227,Under30_MI227,0.003040152138890504,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under30_MI232,Under30_MI227,0.001596970725641742,0.041521238866685295,False
START_STATE,Under30_CA213,Under30_MI227,0.002535648175064751,0.041521238866685295,False
